id,tipo,estado,oferta,precio,moneda,nro_ambientes,nro_banios,zona,ciudad,area_m2,latitud,longitud
DEP00249,departamento,disponible,venta,114400.0,dolar,2,2,Achumani,La Paz,89.0,-16.514112,-68.060089
DEP00250,departamento,alquilado,alquiler,450.0,dolar,1,3,San Jorge,La Paz,117.0,-16.507355,-68.125984
CAS00139,casa,disponible,venta,412000.0,dolar,4,5,Achumani,La Paz,396.0,-16.527363,-68.069496
OFI00065,oficina,disponible,alquiler,1000.0,dolar,5,2,Calacoto,La Paz,179.0,-16.541677,-68.083542
DEP00251,departamento,disponible,alquiler,430.0,dolar,1,1,Calacoto,La Paz,80.0,-16.540607,-68.083717
DEP00252,departamento,disponible,alquiler,290.0,dolar,3,3,Achumani,La Paz,91.0,-16.518414,-68.0597
DEP00253,departamento,disponible,alquiler,800.0,dolar,3,4,Calacoto,La Paz,175.0,-16.538839,-68.081123
DEP00254,departamento,disponible,venta,149000.0,dolar,3,2,Irpavi,La Paz,140.0,-16.513968,-68.087555
EDI00011,edificio,disponible,venta,770000.0,dolar,12,12,Miraflores,La Paz,997.0,-16.485687,-68.123772
DEP00255,departamento,disponible,alquiler,700.0,dolar,3,3,Achumani,La Paz,245.0,-16.524771,-68.066696
DEP00256,departamento,disponible,alquiler,250.0,dolar,1,1,Calacoto,La Paz,40.0,-16.544764,-68.084099
DEP00257,departamento,disponible,alquiler,1200.0,dolar,3,4,Calacoto,La Paz,200.0,-16.539249,-68.078445
DEP00258,departamento,disponible,alquiler,800.0,dolar,3,3,Calacoto,La Paz,140.0,-16.540855,-68.090149
CAS00140,casa,disponible,venta,550000.0,dolar,4,5,Achumani,La Paz,320.0,-16.522757,-68.057907
DEP00259,departamento,disponible,alquiler,570.0,dolar,2,3,Los Pinos,La Paz,150.0,-16.541101,-68.07457
CAS00141,casa,disponible,alquiler,3500.0,dolar,4,6,Aranjuez,La Paz,580.0,-16.55772,-68.094505
CAS00142,casa,alquilado,alquiler,1800.0,dolar,6,6,Achumani,La Paz,560.0,-16.529009,-68.0709
CAS00143,casa,disponible,alquiler,1100.0,dolar,4,5,Achumani,La Paz,300.0,-16.526087,-68.06588
OFI00066,oficina,disponible,alquiler,1400.0,dolar,4,2,Seguencoma,La Paz,297.0,-16.544043,-68.096359
OFI00067,oficina,disponible,alquiler,500.0,dolar,1,1,Obrajes,La Paz,42.0,-16.526169,-68.108276
DEP00260,departamento,disponible,alquiler,550.0,dolar,3,4,Calacoto,La Paz,157.0,-16.537975,-68.080261
CAS00144,casa,disponible,alquiler,650.0,dolar,3,3,Calacoto,La Paz,180.0,-16.539415,-68.079979
CAS00145,casa,disponible,alquiler,2000.0,dolar,4,6,Irpavi,La Paz,430.0,-16.515881,-68.086075
CAS00146,casa,disponible,alquiler,2500.0,dolar,4,6,Auquisamaña,La Paz,400.0,-16.5483,-68.076866
CAS00147,casa,disponible,alquiler,3000.0,dolar,4,5,Calacoto,La Paz,550.0,-16.543673,-68.086098
DEP00261,departamento,disponible,venta,230000.0,dolar,3,3,San Miguel,La Paz,130.0,-16.541586,-68.080765
DEP00262,departamento,disponible,alquiler,380.0,dolar,2,3,Achumani,La Paz,90.0,-16.522343,-68.066055
CAS00148,casa,disponible,venta,280000.0,dolar,3,4,Achumani,La Paz,420.0,-16.518063,-68.062706
TER00035,terreno,disponible,venta,2472000.0,dolar,0,0,Auquisamaña,La Paz,4774.0,-16.547169,-68.060516
DEP00263,departamento,disponible,alquiler,280.0,dolar,1,1,Sopocachi,La Paz,52.0,-16.509447,-68.128944
DEP00264,departamento,disponible,alquiler,450.0,dolar,2,3,Calacoto,La Paz,112.0,-16.540607,-68.085838
CAS00149,casa,disponible,venta,450000.0,dolar,4,4,Achumani,La Paz,407.0,-16.534159,-68.072372
CAS00150,casa,disponible,alquiler,1500.0,dolar,7,4,Obrajes,La Paz,670.0,-16.52833,-68.10376
DEP00265,departamento,disponible,venta,82000.0,dolar,3,3,Achumani,La Paz,91.0,-16.517775,-68.057472
CAS00151,casa,vendido,venta,980000.0,dolar,4,7,Auquisamaña,La Paz,864.0,-16.548166,-68.069199
CAS00152,casa,disponible,alquiler,2000.0,dolar,4,5,Achumani,La Paz,589.0,-16.514072,-68.059914
OFI00068,oficina,disponible,alquiler,10290.0,dolar,1,6,Calacoto,La Paz,735.0,-16.53927,-68.085175
CAS00153,casa,disponible,venta,268000.0,dolar,4,4,Río Abajo,La Paz,320.0,-16.610308,-68.062851
DEP00266,departamento,disponible,alquiler,575.0,dolar,3,3,Irpavi,La Paz,110.0,-16.513741,-68.087601
PAR00002,parqueo,disponible,venta,20926.0,dolar,0,0,San Jorge,La Paz,10.0,-16.510984,-68.123558
DEP00267,departamento,disponible,alquiler,1600.0,dolar,3,5,Calacoto,La Paz,280.0,-16.538757,-68.079292
CAS00154,casa,disponible,alquiler,1293.0,dolar,3,3,Miraflores,La Paz,241.0,-16.498022,-68.121391
DEP00268,departamento,disponible,alquiler,800.0,dolar,3,4,Calacoto,La Paz,240.0,-16.539209,-68.080109
TER00036,terreno,disponible,venta,168000.0,dolar,0,0,Aranjuez,La Paz,510.0,-16.557556,-68.111526
EDI00012,edificio,disponible,venta,4800000.0,dolar,20,16,Sopocachi,La Paz,6140.0,-16.515141,-68.129608
DEP00269,departamento,disponible,venta,155000.0,dolar,3,4,Achumani,La Paz,103.0,-16.519802,-68.064034
DEP00270,departamento,disponible,alquiler,580.0,dolar,3,4,Calacoto,La Paz,157.0,-16.538006,-68.07988
DEP00271,departamento,disponible,alquiler,550.0,dolar,3,5,Calacoto,La Paz,186.0,-16.538715,-68.078995
CAS00155,casa,disponible,venta,398000.0,dolar,4,4,Achumani,La Paz,300.0,-16.534109,-68.066994
DEP00272,departamento,alquilado,alquiler,450.0,dolar,1,1,Calacoto,La Paz,70.0,-16.537533,-68.07737
DEP00273,departamento,disponible,alquiler,1200.0,dolar,3,4,Irpavi,La Paz,310.0,-16.526434,-68.087601
DEP00274,departamento,disponible,venta,115000.0,dolar,2,1,Obrajes,La Paz,80.0,-16.528883,-68.101929
DEP00275,departamento,disponible,alquiler,470.0,dolar,4,3,Sopocachi,La Paz,183.0,-16.51475,-68.133797
CAS00156,casa,alquilado,alquiler,3500.0,dolar,3,4,La Florida,La Paz,580.0,-16.550081,-68.085228
DEP00276,departamento,disponible,alquiler,2500.0,dolar,3,3,Calacoto,La Paz,175.0,-16.541842,-68.089935
DEP00277,departamento,disponible,venta,42600.0,dolar,1,1,Obrajes,La Paz,47.0,-16.527855,-68.10302
CAS00157,casa,disponible,alquiler,4000.0,dolar,28,5,Obrajes,La Paz,764.0,-16.524605,-68.111519
CAS00158,casa,disponible,venta,1300000.0,dolar,28,5,Obrajes,La Paz,764.0,-16.527155,-68.106743
OFI00069,oficina,disponible,alquiler,350.0,dolar,1,1,San Miguel,La Paz,60.0,-16.543375,-68.080055
CAS00159,casa,disponible,alquiler,1400.0,dolar,4,5,Achumani,La Paz,300.0,-16.532108,-68.07515
CAS00160,casa,disponible,alquiler,1500.0,dolar,6,2,Achumani,La Paz,420.0,-16.528534,-68.070923
DEP00278,departamento,disponible,alquiler,1200.0,dolar,4,3,Calacoto,La Paz,190.0,-16.543694,-68.089333
