id,precio_log_iqr,area_m2_log_iqr_std,nro_ambientes_log_iqr_std,nro_banios_log_iqr_std,estado_codL_std,oferta_codL_std,tipo_codT_std,ciudad_codT_std,zona_codT_std,latitud_std,longitud_std
DEP00006,11.823354355742923,-0.5479926902455572,0.30256687375989233,0.2870874255470182,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,-0.6375017536909693,0.9545273071625523,-0.981058199935682
OFI00002,6.8885724595653635,-0.34551917719573755,-0.7603965937397531,-0.7715941649958569,-0.016114366641495355,-1.222499172317344,-0.5694845184983812,-0.9483664637200454,-0.15883918240264788,0.9604381820290911,-1.0079324663363798
CAS00008,7.170888478512505,0.2886577287735607,0.30256687375989233,0.6279067730828085,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,0.60684992619765,0.9030404760882534,-0.9852270748828177
DEP00007,6.3473892096560105,-0.5842187294675534,-0.13860282561592888,-0.15230513432444534,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9162546915350738,-0.9889342958928452
CAS00009,6.2166061010848646,-0.5842187294675534,-0.13860282561592888,-0.15230513432444534,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9593283973248946,-0.9806187646372719
DEP00008,7.696667081526462,0.03591297540641274,0.6447646777869178,0.9063764562184295,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-0.6375017536909693,0.9363115822132754,-0.9837610561859538
LOC00002,7.650168700845001,-0.14814919515125832,-0.7603965937397531,0.2870874255470182,-0.016114366641495355,-1.222499172317344,-0.16296556355542782,-0.9483664637200454,-1.1908548128524579,0.9080090809229237,-0.9915116579801756
DEP00009,12.055255569732177,-0.35691628591283453,0.6447646777869178,0.2870874255470182,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,1.5794659352876712,0.9591459259853949,-1.0087393320856197
OFI00003,6.066108090103747,-1.1969869282858967,-0.7603965937397531,-0.7715941649958569,-0.016114366641495355,-1.222499172317344,-0.5694845184983812,-0.9483664637200454,-0.15883918240264788,0.9574857359292566,-1.0069091745881047
CAS00010,6.55250788703459,-2.1510098928530383,-0.7603965937397531,-0.7715941649958569,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9301898183396067,-0.9855002818473751
CAS00011,7.601402334583733,0.5522847530540953,0.6447646777869178,1.1418192185635814,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.7794084754500027,0.943329250450573,-0.9925822671997251
DEP00010,11.813037464800539,-0.6219737380867364,-0.13860282561592888,0.2870874255470182,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,-0.8360038003309732,0.9110856673602892,-0.9895872769963884
DEP00011,11.588969419043872,-0.7283142130256537,-0.13860282561592888,-0.15230513432444534,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,0.7419688077292422,0.9127473530831464,-0.983902185687224
OFI00004,12.122696471358964,-0.5695518282801942,0.9243606418837164,-0.15230513432444534,-0.016114366641495355,0.8280415687087431,-0.5694845184983812,-0.9483664637200454,0.2381095318881303,0.9743478824994314,-1.0115804376432538
DEP00012,5.860786223465865,-1.1401639653170221,-0.7603965937397531,-0.7715941649958569,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9171161955642081,-0.9868844207461224
CAS00012,7.0909098220799835,0.4877379522357778,0.30256687375989233,1.1418192185635814,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9438198291338276,-0.9834253078680639
DEP00013,7.313886831633462,0.013451688525221724,0.30256687375989233,0.9063764562184295,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9148442778207163,-0.9929838485211202
DEP00014,7.496097345175956,0.10353384763236237,0.30256687375989233,0.6279067730828085,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9133022454352393,-0.9925728037054655
CAS00013,7.00397413672268,-0.005706665292587639,0.30256687375989233,0.6279067730828085,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9404336396859937,-0.9835224115482384
CAS00014,11.736077016252437,-0.04529989304072402,0.30256687375989233,0.2870874255470182,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,0.2223472869548421,0.8224674143637654,-0.9837108585207772
CAS00015,13.451668563394815,1.0966441530609239,1.3655303412595376,1.1418192185635814,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9472030272482239,-0.9830266067405651
TER00002,12.487488878546145,1.9258525378114948,-1.8233600612393985,-1.830275755538732,-0.016114366641495355,0.8280415687087431,1.7525844210160881,-0.9483664637200454,-0.7794084754500027,0.9712698003953469,-0.9900394674392368
CAS00016,12.154784614286667,0.03220836996685567,0.30256687375989233,0.2870874255470182,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,0.09022146188412354,0.9344240508161165,-0.9891478416979782
CAS00017,13.1421679654829,0.44898224726282177,0.9243606418837164,0.6279067730828085,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9200058236619176,-0.9901271076251517
DEP00015,6.7464121285733745,-0.6942277689599547,-0.13860282561592888,-0.15230513432444534,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9190246662954032,-0.9889532228813586
DEP00016,11.49273296168228,-0.8490212561701993,-0.13860282561592888,-0.15230513432444534,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,1.5794659352876712,0.9512682493856871,-1.010220986120818
DEP00017,11.561725152903833,-1.1265047544205238,-0.7603965937397531,-0.7715941649958569,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,0.3741161929354213,0.9028998834168318,-0.9928645262022596
CAS00018,13.815511557963774,1.2998894800496128,0.9243606418837164,1.686588363625684,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,0.2223472869548421,0.8143055610877818,-0.9856854371697411
DEP00018,11.813037464800539,-0.5991300902329952,0.30256687375989233,0.2870874255470182,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,0.9465767700871803,0.9925651031154271,-1.0082435272779522
